Designator,Footprint,Quantity,Value,LCSC Part #
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0603,10,R,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D2.5mm,20,TestPoint,
