Designator,Mid X,Mid Y,Rotation,Layer
R1,40.0,-45.0,270.0,top
R10,76.0,-45.0,270.0,top
R2,44.0,-45.0,270.0,top
R3,47.9675,-45.0,270.0,top
R4,52.0,-45.0,270.0,top
R5,56.0,-45.0,270.0,top
R6,60.0,-45.0,270.0,top
R7,64.0,-45.0,270.0,top
R8,68.0,-45.0,270.0,top
R9,72.0,-45.0,270.0,top
